a	@
depository	d@`pOz@tr\i:
depot	`dep@}
depraved	d@`pr\{Ivd
depreciate	d@`pr\i:Si:{It
depress	d@`pr\es
depression	d@`pr\eS@n
deprive	d@`pr\Aev
deprived	d@`pr\Aevd
dept	d@`p6:tm@nt
depth	depT
deputation	depj@`t{IS@n
deputy	`depj@ti:
deranged	d@`r\{IndZd
derelict	`der\@lIkt
deride	d@`r\Aed
derivative	d@`r\Iv@tIv
derive	d@`r\Aev
dermatitis	d3:m@`tAet@s
derogatory	d@`r\Og@tr\i:
descend	d@`send
descendant	d@`send@nt
descended	d@`send@d
descent	d@`sent
describe	d@`skr\Aeb
description	d@`skr\IpS@n
desecrate	`des@kr\{It
desert	`dez@t
deserve	d@`z3:v
design	d@`zAen
designate	`dezIgn{It
desirable	d@`zAer\@b@l
desire	d@`zAe@
desk	desk
desktop	`desktOp
desolate	`des@l@t
despair	d@`spe:
desperate	`despr\@t
despicable	d@`spIk@b@l
despise	d@`spAez
despite	d@`spAet
despondent	d@`spOnd@nt
despot	`despOt
dessert	d@`z3:t
destination	dest@`n{IS@n
destined	`dest@nd
destiny	`dest@ni:
destitute	`dest@tj}:t
destroy	d@`str\oI
detach	d@`t{tS
detached	d@`t{tSt
detachment	d@`t{tSm@nt
detail	`di:t{Il
detain	d@`t{In
detect	d@`tekt
detective	d@`tektIv
detention	d@`tenS@n
deter	d@`t3:
detergent	d@`t3:dZ@nt
deteriorate	d@`tI@r\i:@r\{It
determination	d@t3:m@`n{IS@n
determine	d@`t3:m@n
determined	d@`t3:m@nd
determiner	d@`t3:m@n@
deterrent	d@`ter\@nt
detest	d@`test
detonate	`det@n{It
detour	`di:tU@
detract	d@`tr\{kt
detrimental	detr\@`ment@l
devalue	di:`v{lj}:
devastate	`dev@st{It
devastating	`dev@st{ItIN
develop	d@`vel@p
developer	d@`vel@p@
development	d@`vel@pm@nt
deviant	`di:vi:@nt
deviate	`di:vi:{It
device	d@`vAes
devil	`dev@l
devious	`di:vi:@s
devise	d@`vAez
devoid	d@`voId
devote	d@`v@}t
devoted	d@`v@}t@d
devotee	dev@`ti:
devour	d@`v{O@
devout	d@`v{Ot
dew	dj}:
dexterity	deks`ter\@ti:
diabetes	dAe@`bi:ti:z
diabolic	dAe@`bOlIk
diagnose	`dAe@gn@}z
diagonal	dAe`{g@n@l
diagram	`dAe@gr\{m
dial	`dAe@l
dialect	`dAe@lekt
dialogue	`dAe@lOg
diameter	dAe`{m@t@
diametrically	dAe@`metr\Ikli:
diamond	`dAe@m@nd
diaphragm	`dAe@fr\{m
diarrhoea	dAe@`r\I@
diary	`dAe@r\i:
dice	dAes
dicey	`dAesi:
dick	dIk
dickhead	`dIkhed
dictate	dIk`t{It
dictator	dIk`t{It@
diction	`dIkS@n
dictionary	`dIkS@nr\i:
did	dId
didgeridoo	dIdZ@r\i:`d}:
die	dAe
diesel	`di:z@l
diet	`dAe@t
differ	`dIf@
difference	`dIfr\@ns
different	`dIfr\@nt
differentiate	dIf@`r\enSi:{It
difficult	`dIf@k@lt
diffident	`dIf@d@nt
diffuse	d@`fj}:s
dig	dIg
digest	d@`dZest
digger	`dIg@
diggings	`dIgINz
digit	`dIdZ@t
digital	`dIdZ@t@l
dignitary	`dIgn@tr\i:
dignity	`dIgn@ti:
digress	dAe`gr\es
dilapidated	d@`l{p@d{It@d
dilate	dAe`l{It
dilemma	d@`lem@
diligent	`dIl@dZ@nt
dill	dIl
dilute	dAe`l}:t
dim	dIm
dimension	d@`menS@n
diminish	d@`mInIS
dimple	`dImp@l
din	dIn
dine	dAen
diner	`dAen@
ding	dIN
dinghy	`dINgi:
dingo	`dINg@}
dingy	`dIndZi:
dining	`dAenIN
dinki-di	dINki:`dAe
dinkum	`dINk@m
dinner	`dIn@
dinosaur	`dAen@so:
dip	dIp
diphtheria	dIf`TI@r\i:@
diphthong	`dIfTON
diploma	d@`pl@}m@
diplomacy	d@`pl@}m@si:
diplomat	`dIpl@m{t
dire	dAe@
direct	d@`r\ekt
direction	d@`r\ekS@n
directive	d@`r\ektIv
directly	d@`r\ektli:
director	d@`r\ekt@
directory	d@`r\ektr\i:
dirt	d3:t
dirty	`d3:ti:
disability	dIs@`bIl@ti:
disable	dIs`{Ib@l
disadvantage	dIs@d`v{ntIdZ
disadvantaged	dIs@d`v{ntIdZd
disagree	dIs@`gr\i:
disagreeable	dIs@`gr\i:@b@l
disallow	dIs@`l{O
disappear	dIs@`pI@
disappoint	dIs@`poInt
disapprove	dIs@`pr\}:v
disarm	dIs`6:m
disarray	dIs@`r\{I
disaster	d@`z6:st@
disband	dIs`b{nd
disbelieve	dIsb@`li:v
disc	dIsk
discard	dIs`k6:d
discern	d@`s3:n
discerning	d@`s3:nIN
discharge	dIs`tS6:dZ
disciple	d@`sAep@l
disciplinarian	dIs@pl@`ne:r\i:@n
discipline	`dIs@pl@n
disclose	dIs`kl@}z
disco	`dIsk@}
discolour	dIs`k6l@
discomfort	dIs`k6mf@t
disconcert	dIsk@n`s3:t
disconnect	dIsk@`nekt
discontent	dIsk@n`tent
discontinue	dIsk@n`tInj}:
discord	`dIsko:d
discount	`dIsk{Ont
discourage	dIs`k6r\IdZ
discourse	`dIsko:s
discourteous	dIs`k3:ti:@s
discover	d@`sk6v@
discredit	dIs`kr\ed@t
discreet	d@`skr\i:t
discrepancy	d@`skr\ep@nsi:
discrete	d@`skr\i:t
discretion	d@`skr\eS@n
discriminate	d@`skr\Im@n{It
discuss	d@`sk6s
disdain	dIs`d{In
disease	d@`zi:z
disfavour	dIs`f{Iv@
disfigure	dIs`fIg@
disgrace	d@s`gr\{Is
disgruntled	dIs`gr\6nt@ld
disguise	d@s`gAez
disgust	d@s`g6st
dish	dIS
disheartened	dIs`h6:t@nd
dishevelled	dI`Sev@ld
dishonest	dIs`On@st
dishonour	dIs`On@
dishwasher	`dISwOS@
disillusioned	dIs@`l}:Z@nd
disinclined	dIsIn`klAend
disinfect	dIsIn`fekt
disinfectant	dIsIn`fekt@nt
disintegrate	dIs`Int@gr\{It
disinterested	dIs`Intr\@st@d
disjointed	dIs`dZoInt@d
disk	dIsk
diskette	dIs`ket
dislike	dIs`lAek
dislocate	`dIsl@k{It
dislodge	dIs`lOdZ
disloyal	dIs`loI@l
dismal	`dIzm@l
dismantle	dIs`m{nt@l
dismay	dIs`m{I
dismiss	dIs`mIs
dismount	dIs`m{Ont
disobey	dIs@`b{I
disorder	dIs`o:d@
disorganised	dIs`o:g@nAezd
disorientated	dIs`Or\i:@nt{It@d
dispatch	d@`sp{tS
dispel	d@`spel
dispensable	d@`spens@b@l
dispensation	dIspen`s{IS@n
dispense	d@`spens
disperse	d@`sp3:s
displace	dIs`pl{Is
display	d@`spl{I
displease	dIs`pli:z
disposable	d@`sp@}z@b@l
disposal	d@`sp@}z@l
dispose	d@`sp@}z
disposed	d@`sp@}zd
disposition	dIsp@`zIS@n
dispossess	dIsp@`zes
disproportion	dIspr\@`po:S@n
disprove	dIs`pr\}:v
dispute	d@`spj}:t
disqualify	dIs`kwOl@fAe
disregard	dIsr\@`g6:d
disrepair	dIsr\@`pe:
disreputable	dIs`r\epj@t@b@l
disrepute	dIsr\@`pj}:t
disrespect	dIsr\@`spekt
disrupt	dIs`r\6pt
dissatisfied	dIs`s{t@sfAed
dissect	d@`sekt
dissension	d@`senS@n
dissent	d@`sent
dissertation	dIs@`t{IS@n
dissident	`dIs@d@nt
dissimilar	dIs`sIm@l@
dissipate	`dIs@p{It
dissociate	dIs`s@}si:{It
dissolution	dIs@`l}:S@n
dissolve	d@`zOlv
dissuade	dIs`sw{Id
distance	`dIst@ns
distant	`dIst@nt
distasteful	dIs`t{IstfUl
distend	d@`stend
distil	d@`stIl
distillate	`dIst@l@t
distinct	d@`stINkt
distinction	d@`stINkS@n
distinctive	d@`stINktIv
distinguish	d@`stINgwIS
distort	d@`sto:t
distract	d@`str\{kt
distraught	d@`str\o:t
distress	d@`str\es
distribute	d@`str\Ibj}:t
distribution	dIstr\@`bj}:S@n
district	`dIstr\Ikt
distrust	dIs`tr\6st
disturb	d@`st3:b
disturbance	d@`st3:b@ns
disturbed	d@`st3:bd
disuse	dIs`j}:s
ditch	dItS
dither	`dID@
ditto	`dIt@}
divan	d@`v{n
dive	dAev
diver	`dAev@
diverge	dAe`v3:dZ
diverse	dAe`v3:s
diversify	d@`v3:s@fAe
diversion	d@`v3:Z@n
divide	d@`vAed
dividend	`dIv@dend
divination	dIv@`n{IS@n
divine	d@`vAen
divinity	d@`vIn@ti:
division	d@`vIZ@n
divorce	d@`vo:s
divorcee	d@vo:`si:
divulge	d@`v6ldZ
dizzy	`dIzi:
do	d}:
dob	dOb
docile	`d@}sAel
dock	dOk
docket	`dOk@t
dockyard	`dOkj6:d
doctor	`dOkt@
doctors	dOkt@z
doctrine	`dOktr\@n
document	`dOkj@m@nt
documentary	dOkj@`mentr\i:
dodge	dOdZ
dodgy	`dOdZi:
doe	d@}
does	d6z
dog	dOg
dog-ear	`dOgI@
dogged	`dOg@d
dogleg	`dOgleg
dogma	`dOgm@
dogmatic	dOg`m{tIk
doily	`doIli:
doing	`d}:IN
doldrums	`dOldr\@mz
dole	d@}l
doleful	`d@}lfUl
doll	dOl
doll's	dOlz
dollar	`dOl@
dollop	`dOl@p
dolls	dOlz
domain	d@`m{In
dome	d@}m
domestic	d@`mestIk
domesticate	d@`mest@k{It
dominate	`dOm@n{It
domineering	dOm@`nI@r\IN
don't	d@}nt
donate	d@}`n{It
done	d6n
donkey	`dONki:
donor	`d@}n@
dont	d@}nt
doodle	`d}:d@l
doom	d}:m
doomsday	`d}:mzd{I
doona	`d}:n@
door	do:
dope	d@}p
dopey	`d@}pi:
dork	do:k
dorm	do:m
dormant	`do:m@nt
dormitory	`do:m@tr\i:
dose	d@}s
dossier	`dOsi:@
dot	dOt
dote	d@}t
dots	dOts
dotty	`dOti:
double	`d6b@l
doublecross	d6b@l`kr\Os
doubt	d{Ot
doubtful	`d{OtfUl
dough	d@}
dour	dU@
douse	d{Os
dove	d6v
dowdy	`d{Odi:
down	d{On
down-market	d{On`m6:k@t
down-to-earth	d{Ont}:`3:T
downcast	`d{Onk6:st
downfall	`d{Onfo:l
downgrade	d{On`gr\{Id
downhearted	d{On`h6:t@d
downhill	d{On`hIl
downplay	d{On`pl{I
downpour	`d{Onpo:
downstream	d{On`str\i:m
downtown	d{Ont{On
downtrodden	d{On`tr\Od@n
downturn	`d{Ont3:n
downward	`d{Onw@d
downwards	`d{Onw@dz
downwind	d{On`wInd
downy	`d{Oni:
dowry	`d{Or\i:
doz.	`d6z@n
doze	d@}z
dozen	`d6z@n
Dr	`dOkt@
drab	dr\{b
draft	dr\6:ft
drag	dr\{g
dragon	`dr\{g@n
dragonfly	`dr\{g@nflAe
drain	dr\{In
drake	dr\{Ik
drama	`dr\6:m@
dramatic	dr\@`m{tIk
dramatise	`dr\{m@tAez
drank	dr\{Nk
drape	dr\{Ip
drastic	`dr\{stIk
draught	dr\6:ft
draw	dr\o:
drawback	`dr\o:b{k
drawcard	`dr\o:k6:d
drawer	dr\o:
drawing	dr\o:IN
drawing-pin	`dr\o:r\INpIn
drawl	dr\o:l
drawn	dr\o:n
dread	dr\ed
dreadful	`dr\edfUl
dream	dr\i:m
Dreaming	`dr\i:mIN
dreamt	dr\emt
dreary	`dr\I@r\i:
drench	dr\entS
dress	dr\es
dresser	`dr\es@
dressing	`dr\esIN
dressing-gown	`dr\esINg{On
dressing-table	`dr\esINt{Ib@l
dressmaker	`dr\esm{Ik@
drew	dr\}:
dribble	`dr\Ib@l
dried	dr\Aed
drier	`dr\Ae@
drift	dr\Ift
drill	dr\Il
drink	dr\INk
drink-driving	dr\INk`dr\AevIN
drip	dr\Ip
drip-dry	`dr\Ipdr\Ae
dripping	`dr\IpIN
drive	dr\Aev
drive-in	`dr\AevIn
driveway	`dr\Aevw{I
drizzle	`dr\Iz@l
drone	dr\@}n
drongo	`dr\ONg@}
droop	dr\}:p
drop	dr\Op
drop-out	`dr\Op{Ot
droplet	`dr\Opl@t
dropper	`dr\Op@
droppings	`dr\OpINz
drought	dr\{Ot
drove	dr\@}v
drown	dr\{On
drowsy	`dr\{Ozi:
drug	dr\6g
drum	dr\6m
drumstick	`dr\6mstIk
drunk	dr\6Nk
dry	dr\Ae
dry-clean	dr\Ae`kli:n
dual	`dj}:@l
dub	d6b
dubious	`dj}:bi:@s
duck	d6k
due	dj}:
duel	`dj}:@l
duet	dj}:`et
dug	d6g
dugout	`d6g{Ot
dull	d6l
duly	`dj}:li:
dumb	d6m
dummy	`d6mi:
dump	d6mp
dumpling	`d6mplIN
dumpy	`d6mpi:
dune	dj}:n
dung	d6N
dunk	d6Nk
dunny	`d6ni:
duo	`dj}:@}
duodenum	dj}:@`di:n@m
dupe	dj}:p
duplex	`dj}:pleks
duplicate	`dj}:pl@k{It
durable	`dj}:r\@b@l
duration	dj}:`r\{IS@n
during	`dj}:r\IN
dusk	d6sk
dust	d6st
dustpan	`d6stp{n
Dutch	d6tS
duty	`dj}:ti:
duty-free	dj}:ti:`fr\i:
duvet	`d}:v{I
dwarf	dwo:f
dwarf's	dwo:fs
dwell	dwel
dwindle	`dwInd@l
dye	dAe
dying	`dAeIN
dynamic	dAe`n{mIk
dynamics	dAe`n{mIks
dynamite	`dAen@mAet
dysentery	`dIs@ntr\i:
dyslexia	dIs`leksi:@
E	i:
e	i:
e-mail	`i:m{Il
e.g.	i:`dZi:
each	i:tS
eager	`i:g@
ear	I@
eardrum	`I@dr\6m
early	`3:li:
earn	3:n
earnest	`3:n@st
earphone	`I@f@}n
earring	`I@r\IN
earth	3:T
earthenware	`3:D@nwe:
earthquake	`3:Tkw{Ik
ease	i:z
easel	`i:z@l
east	i:st
Easter	`i:st@
eastward	`i:stw@d
easy	`i:zi:
eat	i:t
eaves	i:vz
eavesdrop	`i:vzdr\Op
EB	i:`bi:
ebb	eb
eccentric	ek`sentr\Ik
ECG	i:si:`dZi:
echidna	@`kIdn@
echo	`ek@}
eclipse	@`klIps
ecology	@`kOl@dZi:
economics	ek@`nOmIks
economy	@`kOn@mi:
eczema	`eks@m@
edge	edZ
edible	`ed@b@l
edit	`ed@t
edition	@`dIS@n
editorial	ed@`to:r\i:@l
education	edZ@`k{IS@n
eerie	`I@r\i:
effect	@`fekt
effective	@`fektIv
effeminate	@`fem@n@t
effervescent	ef@`ves@nt
efficient	@`fIS@nt
effort	`ef@t
EFTPOS	`eftpOs
egg	eg
ego	`i:g@}
eiderdown	`Aed@d{On
eight	{It
eighteen	{I`ti:n
eighteenth	{I`ti:nT
eighth	{ItT
eighty	`{Iti:
either	`AeD@
eject	@`dZekt
elaborate	@`l{b@r\@t
elapse	@`l{ps
elastic	@`l{stIk
elated	@`l{It@d
elbow	`elb@}
elder	`eld@
elderly	`eld@li:
eldest	`eld@st
elect	@`lekt
election	@`lekS@n
elective	@`lektIv
electorate	@`lekt@r\@t
electrician	@lek`tr\IS@n
electricity	@lek`tr\Is@ti:
electrocute	@`lektr\@kj}:t
electronic	el@k`tr\OnIk
elegant	`el@g@nt
element	`el@m@nt
elementary	el@`mentr\i:
elevate	`el@v{It
elevator	`el@v{It@
eleven	@`lev@n
eleventh	@`lev@nT
eligible	`el@dZ@b@l
eliminate	@`lIm@n{It
elite	@`li:t
Elle	el
Ellen	el@n
ellipse	@`lIps
eloquent	`el@kw@nt
else	els
elsewhere	`elswe:
elusive	@`l}:sIv
embargo	em`b6:g@}
embark	em`b6:k
embarrass	em`b{r\@s
embassy	`emb@si:
embezzle	em`bez@l
emblem	`embl@m
embrace	em`br\{Is
embroider	em`br\oId@
embryo	`embr\i:@}
emerald	`emr\@ld
emerge	@`m3:dZ
emergency	@`m3:dZ@nsi:
emigrant	`em@gr\@nt
emigrate	`em@gr\{It
eminent	`em@n@nt
emotion	@`m@}S@n
emphasis	`emf@s@s
empire	`empAe@
employ	em`ploI
empty	`empti:
emu	`i:mj}:
enable	en`{Ib@l
enamel	@`n{m@l
encircled	ens3:k@ld
enclose	en`kl@}z
encode	en`k@}d
encore	`ONko:
encounter	en`k{Ont@
encourage	en`k6r\IdZ
encyclopedia	ensAekl@`pi:di:@
end	end
endanger	en`d{IndZ@
endeavour	en`dev@
endorse	en`do:s
endure	en`djU@
enemy	`en@mi:
energy	`en@dZi:
engage	en`g{IdZ
engagement	en`g{IdZm@nt
engine	`endZ@n
engineer	endZ@`nI@
English	`INglIS
engrave	en`gr\{Iv
enjoy	en`dZoI
enjoying	endZoIIN
enlarge	en`l6:dZ
enlist	en`lIst
enormous	@`no:m@s
enough	@`n6f
enquiry	In`kwAer\i:
enrage	en`r\{IdZ
enrich	en`r\ItS
enrol	en`r\@}l
ensuite	`Onswi:t
ensure	en`So:
entangled	en`t{Ng@ld
enter	`ent@
enterprise	`ent@pr\Aez
entertain	ent@`t{In
enthusiasm	en`T}:zi:{z@m
entice	en`tAes
entire	en`tAe@
entitle	en`tAet@l
entrance	`entr\@ns
entrant	`entr\@nt
entreat	en`tr\i:t
entree	`Ontr\{I
entrepreneur	Ontr\@pr\@`n3:
entry	`entr\i:
envelope	`env@l@}p
environment	en`vAer\@nm@nt
envy	`envi:
epic	`epIk
epidemic	ep@`demIk
epilepsy	`ep@lepsi:
episode	`ep@s@}d
epitome	@`pIt@mi:
epoch	`i:pOk
equal	`i:kw@l
equator	@`kw{It@
equip	@`kwIp
equipment	@`kwIpm@nt
equivalent	@`kwIv@l@nt
era	`I@r\@
eradicate	@`r\{d@k{It
erase	@`r\{Iz
erect	@`r\ekt
erode	@`r\@}d
erotic	@`r\OtIk
err	3:
errand	`er\@nd
erratic	@`r\{tIk
error	`er\@
erupt	@`r\6pt
escalate	`esk@l{It
escalator	`esk@l{It@
escapade	`esk@p{Id
escape	@`sk{Ip
escort	@s`ko:t
esky	`eski:
ESL	i:es`el
especially	@`speS@li:
espionage	`espi:@n6:Z
essay	`es{I
essence	`es@ns
essential	@`senS@l
establish	@`st{blIS
establishment	@`st{blISm@nt
estate	@`st{It
esteem	@`sti:m
estimate	`est@m{It
estranged	@`str\{IndZd
etc.	et`setr\@
etch	etS
etching	`etSIN
eternal	@`t3:n@l
Ethan	i:T@n
ethics	`eTIks
ethnic	`eTnIk
etiquette	`eti:k@t
eucalyptus	j}:k@`lIpt@s
euthanasia	j}:T@`n{IZ@
evacuate	@`v{kj}:{It
evade	@`v{Id
evaluate	@`v{lj}:{It
evaporate	@`v{p@r\{It
eve	i:v
even	`i:v@n
evening	`i:vnIN
event	@`vent
eventually	@`ventS@li:
ever	`ev@
evergreen	`ev@gr\i:n
every	`evr\i:
everybody	`evr\i:bOdi:
everyday	`evr\i:d{I
everyone	`evr\i:w6n
everything	`evr\i:TIN
everywhere	`evr\i:we:
evict	@`vIkt
evidence	`ev@d@ns
evident	`ev@d@nt
evil	`i:v@l
evolution	ev@`l}:S@n
ex-	eks
exact	@g`z{kt
exactly	@g`z{ktli:
exaggerate	@g`z{dZ@r\{It
exam	@g`z{m
examination	@gz{m@`n{IS@n
examine	@g`z{m@n
example	@g`z{mp@l
exasperate	@g`z{sp@r\{It
excavate	`eksk@v{It
exceed	@k`si:d
excel	@k`sel
excellent	`eks@l@nt
except	@k`sept
exception	@k`sepS@n
exceptional	@k`sepS@n@l
excess	`ekses
exchange	@ks`tS{IndZ
excite	@k`sAet
excited	@k`sAet@d
exciting	@k`sAetIN
exclaim	@k`skl{Im
exclamation	ekskl@`m{IS@n
exclude	@k`skl}:d
exclusive	@k`skl}:sIv
excrete	@k`skr\i:t
excruciating	@k`skr\}:Si:{ItIN
excursion	@k`sk3:S@n
excuse	@k`skj}:s
execute	`eks@kj}:t
executive	@g`zekj@tIv
executor	@g`zekj@t@
exempt	@g`zempt
exercise	`eks@sAez
exert	@g`z3:t
exhale	eks`h{Il
exhaust	@g`zo:st
exhaustive	@g`zo:stIv
exhibit	@g`zIb@t
exile	`egzAel
exist	@g`zIst
exit	`eks@t
exodus	`eks@d@s
exotic	@g`zOtIk
expand	@k`sp{nd
expanse	@k`sp{ns
expect	@k`spekt
expected	ekspekt@d
expedition	eksp@`dIS@n
expel	@k`spel
expend	@k`spend
expenditure	ek`spend@tS@
expense	@k`spens
expensive	@k`spensIv
experience	@k`spI@r\i:ens
experiment	@k`sper\@m@nt
expert	`eksp3:t
expire	@k`spAe@
explain	@k`spl{In
expletive	@k`spli:tIv
explode	@k`spl@}d
exploit	@k`sploIt
explore	@k`splo:
explosion	@k`spl@}Z@n
explosive	ek`spl@}sIv
export	ek`spo:t
expose	@k`sp@}z
exposure	@k`sp@}Z@
express	@k`spr\es
expression	@k`spr\eS@n
expressway	ek`spr\esw{I
expulsion	@k`sp6lS@n
exquisite	ek`skwIz@t
extend	@k`stend
extension	@k`stenS@n
extensive	@k`stensIv
extent	@k`stent
exterior	@k`stI@r\i:@
exterminate	@k`st3:m@n{It
external	@k`st3:n@l
extinct	@k`stINkt
extinguish	@k`stINgwIS
extortion	@k`sto:S@n
extra	`ekstr\@
extract	@k`str\{kt
extraordinary	@k`str\o:d@nr\i:
extravagant	@k`str\{v@g@nt
extreme	@k`str\i:m
extremism	@k`str\i:mIz@m
eye	Ae
eyebrow	`Aebr\{O
eyelash	`Ael{S
eyelid	`AelId
eyesight	`AesAet
eyesore	`Aeso:
eyewitness	`AewItn@s
F	ef
f	ef
fable	`f{Ib@l
fabric	`f{br\Ik
fabricate	`f{br\@k{It
fabulous	`f{bj}:l@s
facade	f@`s6:d
face	f{Is
faceless	`f{Isl@s
facelift	`f{IslIft
facet	`f{s@t
facial	f{IS@l
facilitate	f@`sIl@t{It
facility	f@`sIl@ti:
facsimile	f{k`sIm@li:
fact	f{kt
faction	`f{kS@n
factor	`f{kt@
factory	`f{ktr\i:
factual	`f{ktS}:@l
faculty	`f{k@lti:
fad	f{d
fade	f{Id
faeces	`fi:si:z
fag	f{g
Fahrenheit	`f{r\@nhAet
fail	f{Il
failing	`f{IlIN
failure	`f{Ilj@
faint	f{Int
fair	fe:
fairly	`fe:li:
fairway	`fe:w{I
fairy	`fe:r\i:
fairytale	`fe:r\i:t{Il
faith	f{IT
faithful	`f{ITf@l
fake	f{Ik
fall	fo:l
fallacy	`f{l@si:
fallible	`f{l@b@l
fallout	`fo:l{Ot
false	fOls
falter	`fo:lt@
fame	f{Im
familiar	f@`mIlj@
family	`f{m@li:
famine	`f{m@n
famished	`f{mISt
famous	`f{Im@s
fan	f{n
fanatic	f@`n{tIk
fanbelt	`f{nbelt
fanciful	`f{ns@f@l
fancy	`f{nsi:
fang	f{N
fantastic	f{n`t{stIk
fantasy	`f{nt@si:
far	f6:
far-fetched	f6:`fetSt
far-reaching	f6:`r\i:tSIN
far-sighted	f6:`sAet@d
farce	f6:s
fare	fe:
farewell	fe:`wel
farm	f6:m
fart	f6:t
farther	`f6:D@
fascinate	`f{s@n{It
fashion	`f{S@n
fast	f6:st
fasten	`f6:s@n
fat	f{t
fatal	`f{It@l
fatalistic	f{It@`lIstIk
fatality	f@`t{l@ti:
fate	f{It
father	`f6:D@
father-in-law	`f6:D@r\Inlo:
fatigue	f@`ti:g
fatso	`f{ts@}
fault	fOlt
fauna	`fo:n@
favour	`f{Iv@
favourable	`f{Iv@r\@b@l
favourite	`f{Iv@r\@t
fax	f{ks
faze	f{Iz
fear	fI@
fearful	`fI@f@l
feasible	`fi:z@b@l
feast	fi:st
feat	fi:t
feather	`feD@
feature	`fi:tS@
February	`febr\}:@r\i:
fed	fed
federal	`fed@r\@l
federate	`fed@r\{It
fee	fi:
feeble	`fi:b@l
feed	fi:d
feedback	`fi:db{k
feel	fi:l
feeler	`fi:l@
feeling	`fi:lIN
feet	fi:t
feign	f{In
fell	fel
fellow	`fel@}
felony	`fel@ni:
felt	felt
female	`fi:m{Il
feminine	`fem@n@n
feminist	`fem@n@st
fence	fens
fencing	`fensIN
fend	fend
feral	`fer\@l
ferment	f@`ment
ferocious	f@`r\@}S@s
ferry	`fer\i:
fertile	`f3:tAel
fertilisation	f3:t@lAe`z{IS@n
fertiliser	`f3:t@lAez@
fervent	`f3:v@nt
fester	`fest@
festival	`fest@v@l
festive	`festIv
festoon	fes`t}:n
fetch	fetS
fete	f{It
fetid	`fet@d
fetus	`fi:t@s
feud	fj}:d
fever	`fi:v@
few	fj}:
fiance	fi:`Ons{I
fiancee	fi:`Ons{I
fiasco	fi:`{sk@}
fib	fIb
fibre	`fAeb@
fibreglass	`fAeb@gl6:s
fibro	`fAebr\@}
fiction	`fIkS@n
fiddle	`fId@l
fiddly	`fIdli:
fidelity	f@`del@ti:
fidget	`fIdZ@t
field	fi:ld
fierce	fI@s
fiery	`fAe@r\i:
fifteen	fIf`ti:n
fifteenth	fIf`ti:nT
fifth	fIfT
fifty	`fIfti:
fight	fAet
figment	`fIgm@nt
figure	`fIg@
file	fAel
filial	`fIli:@l
filing	`fAelIN
Filipino	fIl@`pi:n@}
fill	fIl
fillet	`fIl@t
filling	`fIlIN
film	fIlm
filmed	fIlmd
filter	`fIlt@
filthy	`fIlTi:
fin	fIn
final	`fAen@l
finale	f@`n6:li:
finalise	`fAen@lAez
finalist	`fAen@l@st
finally	`fAen@li:
finance	`fAen{ns
financial	f@`n{nS@l
find	fAend
fine	fAen
finger	`fINg@
fingernail	`fINg@n{Il
fingerprint	`fINg@pr\Int
finicky	`fIn@ki:
finish	`fInIS
finite	`fAenAet
fire	fAe@
firearm	`fAe@r\6:m
firebreak	`fAe@br\{Ik
firefighter	`fAe@fAet@
fireplace	`fAe@pl{Is
fireproof	`fAe@pr\}:f
firewood	`fAe@wUd
fireworks	`fAe@w3:ks
firm	f3:m
first	f3:st
first-class	`f3:stkl6:s
first-hand	`f3:sth{nd
fish	fIS
fisherman	`fIS@m@n
fishing	fISIN
fishy	`fISi:
fist	fIst
fit	fIt
fitness	`fItn@s
fitting	`fItIN
five	fAev
fix	fIks
fixture	`fIkstS@
fizz	fIz
fizzer	`fIz@
fizzle	`fIz@l
flab	fl{b
flabbergasted	`fl{b@g{st@d
flaccid	`fl{s@d
flag	fl{g
flagon	`fl{g@n
flagrant	`fl{Igr\@nt
flair	fle:
flak	fl{k
flake	fl{Ik
flamboyant	fl{m`boI@nt
flame	fl{Im
flaming	`fl{ImIN
flammable	`fl{m@b@l
flan	fl{n
flank	fl{Nk
flannel	`fl{n@l
flannelette	fl{n@`let
flap	fl{p
flapjack	`fl{pdZ{k
flare	fle:
flash	fl{S
flashback	`fl{Sb{k
flashlight	`fl{SlAet
flashy	`fl{Si:
flask	fl6:sk
flat	fl{t
flatette	fl{t`et
flatten	`fl{t@n
flatter	`fl{t@
flatulence	`fl{tS@l@ns
flaunt	flo:nt
flautist	`flo:t@st
flavour	`fl{Iv@
flaw	flo:
flax	fl{ks
flea	fli:
flea-bitten	`fli:bIt@n
fled	fled
fledgling	`fledZlIN
flee	fli:
fleece	fli:s
fleet	fli:t
fleeting	`fli:tIN
flesh	fleS
flew	fl}:
flex	fleks
flexible	`fleks@b@l
flexitime	`fleksi:tAem
flick	flIk
flicker	`flIk@
flicks	flIks
flight	flAet
flimsy	`flImzi:
flinch	flIntS
fling	flIN
flint	flInt
flip	flIp
flippant	`flIp@nt
flipper	`flIp@
flirt	fl3:t
flit	flIt
float	fl@}t
flock	flOk
flog	flOg
flood	fl6d
floodlight	`fl6dlAet
floor	flo:
floorboard	`flo:bo:d
flop	flOp
floppy	`flOpi:
flora	`flo:r\@
floral	`flOr\@l
florist	`flOr\@st
floss	flOs
flounder	fl{Ond@
flour	`fl{O@
flourish	`fl6r\IS
flout	fl{Ot
flow	fl@}
flower	`fl{O@
flowerbed	`fl{O@bed
flowery	`fl{O@r\i:
flown	fl@}n
flu	fl}:
fluctuate	`fl6ktS}:{It
