'em	@ m
mussel	' m 6 s l
mussels	' m 6 s l z
musses	' m 6 s - I z
mussing	' m 6 s - I N
must	m 6 s t
mustache	m 6 s - ' t { S
mustachio	' m @ s - ' t 6: S - i@ - @
mustachios	' m @ s - ' t 6: S - i@ - U z
mustang	' m 6 s - t { N
mustangs	' m 6 s - t { N z
mustard	' m 6 s - t @ d
muster	' m 6 s - t @ r\
mustered	' m 6 s - t @ d
mustering	' m 6 s - t @ r\ - I N
musters	' m 6 s - t @ z
mustier	' m 6 s - t i@ r\
mustiest	' m 6 s - t I - I s t
mustiness	' m 6 s - t I n - @ s
mustn't	' m 6 s n t
musts	' m 6 s t s
musty	' m 6 s - t i:
mutability	' m j }: t - @ b - ' I l - I t - i:
mutable	' m j }: t - @ b l
mutation	' m j }: t - ' {I S - @ n
mutations	' m j }: t - ' {I S - @ n z
mutatis mutandis	' m }: t - ' 6: t - I s - m }: t - ' { n d - I s
mute	' m j }: t
muted	' m j }: t - I d
mutely	' m j }: t - l i:
mutes	' m j }: t s
mutilate	' m j }: t - I l - {I t
mutilated	' m j }: t - I l - {I t - I d
mutilates	' m j }: t - I l - {I t s
mutilating	' m j }: t - I l - {I t - I N
mutilation	' m j }: t - I l - ' {I S - @ n
mutilations	' m j }: t - I l - ' {I S - @ n z
mutineer	' m j }: t - I n - ' i@ r\
mutineers	' m j }: t - I n - ' i@ z
muting	' m j }: t - I N
mutinied	' m j }: t - I n - I d
mutinies	' m j }: t - I n - I z
mutinous	' m j }: t - I n - @ s
mutiny	' m j }: t - I n - i:
mutinying	' m j }: t - I n - I - I N
mutt	' m 6 t
mutter	' m 6 t - @ r\
muttered	' m 6 t - @ d
mutterer	' m 6 t - @ r\ - @ r\
mutterers	' m 6 t - @ r\ - @ z
muttering	' m 6 t - @ r\ - I N
mutters	' m 6 t - @ z
mutton	' m 6 t n
mutton-head	' m 6 t n - h e d
mutton-heads	' m 6 t n - h e d z
mutts	' m 6 t s
mutual	' m j }: tS - u@ l
mutually	' m j }: tS - u@ l - i:
muzzier	' m 6 z - i@ r\
muzziest	' m 6 z - I - I s t
muzzle	' m 6 z l
muzzle-velocities	' m 6 z l - v I l - ' O s - I t - I z
muzzle-velocity	' m 6 z l - v I l - ' O s - I t - i:
muzzled	' m 6 z l d
muzzles	' m 6 z l z
muzzling	' m 6 z - l I N
muzzy	' m 6 z - i:
my	' m Ae
mycology	' m Ae k - ' O l - @ dZ - i:
myelitis	' m Ae - @ l - ' Ae t - I s
myna	' m Ae n - @
mynah	' m Ae n - @
mynahs	' m Ae n - @ z
mynas	' m Ae n - @ z
myopia	' m Ae - ' @} p - i@
myopic	' m Ae - ' O p - I k
myriad	' m I r\ - i@ d
myriads	' m I r\ - i@ d z
myrmidon	' m @@ m - I d - @ n
myrmidons	' m @@ m - I d - @ n z
myrrh	' m @@ r\
myrtle	' m @@ t l
myrtles	' m @@ t l z
myself	' m Ae s - ' e l f
mysteries	' m I s - t @ r\ - I z
mysterious	' m I s - ' t i@ r\ - i@ s
mysteriously	' m I s - ' t i@ r\ - i@ s - l i:
mystery	' m I s - t @ r\ - i:
mystic	' m I s - t I k
mystical	' m I s - t I k l
mysticism	' m I s - t I s - I z - @ m
mystics	' m I s - t I k s
mystification	' m I s - t I f - I k - ' {I S - @ n
mystifications	' m I s - t I f - I k - ' {I S - @ n z
mystified	' m I s - t I f - Ae d
mystifies	' m I s - t I f - Ae z
mystify	' m I s - t I f - Ae
mystifying	' m I s - t I f - Ae - I N
mystique	' m I s - ' t i: k
mystiques	' m I s - ' t i: k s
myth	' m I T
mythical	' m I T - I k l
mythological	' m I T - @ l - ' O dZ - I k l
mythologies	' m I T - ' O l - @ dZ - I z
mythologist	' m I T - ' O l - @ dZ - I s t
mythologists	' m I T - ' O l - @ dZ - I s t s
mythology	' m I T - ' O l - @ dZ - i:
myths	' m I T s
myxomatosis	' m I k - s @ m - @ t - ' @} s - I s
n	' e n
n's	' e n z
n_ee	' n {I
n_eglig_e	' n e g - l I Z - {I
n_eglig_es	' n e g - l I Z - {I z
na\ive	' n Ae - ' i: v
nab	' n { b
nabbed	' n { b d
nabbing	' n { b - I N
nabob	' n {I b - O b
nabobs	' n {I b - O b z
nabs	' n { b z
nacelle	' n { s - ' e l
nacelles	' n { s - ' e l z
nacre	' n {I k - @ r\
nadir	' n {I d - i@ r\
nadirs	' n {I d - i@ z
nag	' n { g
nagged	' n { g d
nagger	' n { g - @ r\
naggers	' n { g - @ z
nagging	' n { g - I N
nags	' n { g z
naiad	' n Ae - { d
naiades	' n Ae - { d - i: z
naiads	' n Ae - { d z
nail	' n {I l
nail-polish	' n {I l - p O l - I S
nail-polishes	' n {I l - p O l - I S - I z
nail-scissors	' n {I l - s I z - @ z
nail-varnish	' n {I l - v 6: n - I S
nail-varnishes	' n {I l - v 6: n - I S - I z
nailbrush	' n {I l b - r\ 6 S
nailbrushes	' n {I l b - r\ 6 S - I z
nailed	' n {I l d
nailfile	' n {I l f - Ae l
nailfiles	' n {I l f - Ae l z
nailing	' n {I l - I N
nails	' n {I l z
nainsook	' n {I n s - U k
naira	' n Ae r\ - @
nairas	' n Ae r\ - @ z
naive	' n Ae - ' i: v
naively	' n Ae - ' i: v - l i:
naivet_e	' n Ae - ' i: v - @ t - i:
naivet_es	' n Ae - ' i: v - @ t - I z
naivete	n Ae - ' i: v - I t - i:
naiveties	' n Ae - ' i: v - @ t - I z
naivety	' n Ae - ' i: v - @ t - i:
naked	' n {I k - I d
nakedly	' n {I k - I d - l i:
nakedness	' n {I k - I d - n @ s
namby-pambies	' n { m b - I - ' p { m b - I z
namby-pamby	' n { m b - I - ' p { m b - i:
name	' n {I m
name-day	' n {I m - d {I
name-days	' n {I m - d {I z
name-drop	' n {I m - d r\ O p
name-dropped	' n {I m - d r\ O p t
name-dropping	' n {I m - d r\ O p - I N
name-drops	' n {I m - d r\ O p s
name-part	' n {I m - p 6: t
name-parts	' n {I m - p 6: t s
named	' n {I m d
nameless	' n {I m - l I s
namely	' n {I m - l i:
nameplate	' n {I m p - l {I t
nameplates	' n {I m p - l {I t s
names	' n {I m z
namesake	' n {I m s - {I k
namesakes	' n {I m s - {I k s
naming	' n {I m - I N
nankeen	' n { n k - ' i: n
nannies	' n { n - I z
nanny	' n { n - i:
nanny-goat	' n { n - I - g @} t
nanny-goats	' n { n - I - g @} t s
nap	' n { p
napalm	' n {I p - 6: m
nape	' n {I p
napery	' n {I p - @ r\ - i:
napes	' n {I p s
naphtha	' n { f - T @
naphthalene	' n { f - T @ l - i: n
napkin	' n { p - k I n
napkin-ring	' n { p - k I n - r\ I N
napkin-rings	' n { p - k I n - r\ I N z
napkins	' n { p - k I n z
napped	' n { p t
nappies	' n { p - I z
napping	' n { p - I N
nappy	' n { p - i:
naps	' n { p s
narcissi	' n 6: s - ' I s - Ae
narcissism	' n 6: s - I s - I z - @ m
narcissus	' n 6: s - ' I s - @ s
narcissuses	' n 6: s - ' I s - @ s - I z
narcotic	' n 6: k - ' O t - I k
narcotics	' n 6: k - ' O t - I k s
nark	' n 6: k
narked	' n 6: k t
narking	' n 6: k - I N
narks	' n 6: k s
narrate	' n @ r\ - ' {I t
narrated	' n @ r\ - ' {I t - I d
narrates	' n @ r\ - ' {I t s
narrating	' n @ r\ - ' {I t - I N
narration	' n @ r\ - ' {I S - @ n
narrations	' n @ r\ - ' {I S - @ n z
narrative	' n { r\ - @ t - I v
narratives	' n { r\ - @ t - I v z
narrator	' n @ r\ - ' {I t - @ r\
narrators	' n @ r\ - ' {I t - @ z
narrow	' n { r\ - @}
narrow-minded	' n { r\ - @} - ' m Ae n d - I d
narrow-mindedly	' n { r\ - @} - ' m Ae n d - I d - l i:
narrow-mindedness	' n { r\ - @} - ' m Ae n d - I d - n @ s
narrowed	' n { r\ - @} d
narrower	' n { r\ - @} - @ r\
narrowest	' n { r\ - @} - I s t
narrowing	' n { r\ - @} - I N
narrowly	' n { r\ - @} l - i:
narrowness	' n { r\ - @} n - @ s
narrows	' n { r\ - @} z
narwhal	' n 6: w - @ l
narwhals	' n 6: w - @ l z
nasal	' n {I z l
nasalize	' n {I z - @ l - Ae z
nasalized	' n {I z - @ l - Ae z d
nasalizes	' n {I z - @ l - Ae z - I z
nasalizing	' n {I z - @ l - Ae z - I N
nasals	' n {I z l z
nascent	' n { s n t
nastier	' n 6: s - t i@ r\
nastiest	' n 6: s - t I - I s t
nastily	' n 6: s - t I l - i:
nastiness	' n { s - t I n - @ s
nasturtium	' n @ s - ' t @@ S - @ m
nasturtiums	' n @ s - ' t @@ S - @ m z
nasty	' n 6: s - t i:
natal	' n {I t l
nation	' n {I S - @ n
national	' n { S - @ n - @ l
nationalism	' n { S - @ n - @ l - I z - @ m
nationalist	' n { S - @ n - @ l - I s t
nationalistic	' n { S - @ n - @ l - ' I s - t I k
nationalists	' n { S - @ n - @ l - I s t s
nationalities	' n { S - @ n - ' { l - I t - I z
nationality	' n { S - @ n - ' { l - I t - i:
nationalization	' n { S - @ n - @ l - Ae z - ' {I S - @ n
nationalizations	' n { S - @ n - @ l - Ae z - ' {I S - @ n z
nationalize	' n { S - @ n - @ l - Ae z
nationalized	' n { S - @ n - @ l - Ae z d
nationalizes	' n { S - @ n - @ l - Ae z - I z
nationalizing	' n { S - @ n - @ l - Ae z - I N
nationally	' n { S - @ n - @ l - i:
nationals	' n { S - @ n - @ l z
nationhood	' n {I S - @ n h - }: d
nations	' n {I S - @ n z
nationwide	' n {I S - @ n w - Ae d
native	' n {I t - I v
natives	' n {I t - I v z
nativities	' n @ t - ' I v - I t - I z
nativity	' n @ t - ' I v - I t - i:
natter	' n { t - @ r\
nattered	' n { t - @ d
nattering	' n { t - @ r\ - I N
natters	' n { t - @ z
nattier	' n { t - i@ r\
nattiest	' n { t - I - I s t
nattily	' n { t - I l - i:
natty	' n { t - i:
natural	' n { tS - r\ @ l
naturalism	' n { tS - r\ @ l - I z - @ m
naturalist	' n { tS - r\ @ l - I s t
naturalistic	' n { tS - r\ @ l - ' I s - t I k
naturalists	' n { tS - r\ @ l - I s t s
naturalization	' n { tS - r\ @ l - Ae z - ' {I S - @ n
naturalize	' n { tS - r\ @ l - Ae z
naturalized	' n { tS - r\ @ l - Ae z d
naturalizes	' n { tS - r\ @ l - Ae z - I z
naturalizing	' n { tS - r\ @ l - Ae z - I N
naturally	' n { tS - r\ @ l - i:
naturalness	' n { tS - r\ @ l n - I s
naturals	' n { tS - r\ @ l z
nature	' n {I tS - @ r\
natures	' n {I tS - @ z
naturism	' n {I tS - @ r\ - I z - @ m
naturist	' n {I tS - @ r\ - I s t
naturists	' n {I tS - @ r\ - I s t s
naught	' n o: t
naughtier	' n o: t - i@ r\
naughtiest	' n o: t - I - I s t
naughtily	' n o: t - I l - i:
naughtiness	' n o: t - I n - @ s
naughts	' n o: t s
naughty	' n o: t - i:
nausea	' n o: s - i@
nauseate	' n o: s - I - {I t
nauseated	' n o: s - I - {I t - I d
nauseates	' n o: s - I - {I t s
nauseating	' n o: s - I - {I t - I N
nauseous	' n o: s - i@ s
nautch	' n o: tS
nautch-girl	' n o: tS - g @@ l
nautch-girls	' n o: tS - g @@ l z
nautches	' n o: tS - I z
nautical	' n o: t - I k l
nautilus	' n o: t - I l - @ s
nautiluses	' n o: t - I l - @ s - I z
naval	' n {I v - @ l
nave	' n {I v
navel	' n {I v - @ l
navels	' n {I v - @ l z
naves	' n {I v z
navies	' n {I v - I z
navigability	' n { v - I g - @ b - ' I l - I t - i:
navigable	' n { v - I g - @ b l
navigate	' n { v - I g - {I t
navigated	' n { v - I g - {I t - I d
navigates	' n { v - I g - {I t s
navigating	' n { v - I g - {I t - I N
navigation	' n { v - I g - ' {I S - @ n
navigator	' n { v - I g - {I t - @ r\
navigators	' n { v - I g - {I t - @ z
navvies	' n { v - I z
navvy	' n { v - i:
navy	' n {I v - i:
nay	' n {I
ne plus ultra	' n i: - ' p l 6 s - ' 6 l t - r\ @
ne'er	' n e@ r\
ne'er-do-well	' n e@ - d }: - w e l
ne'er-do-wells	' n e@ - d }: - w e l z
neap	' n i: p
neap-tide	' n i: p - t Ae d
neap-tides	' n i: p - t Ae d z
neaps	' n i: p s
near	n i@ r\
near-sighted	' n i@ - ' s Ae t - I d
nearby	' n i@ b - Ae
neared	' n i@ d
nearer	' n i@ r\ - @ r\
nearest	' n i@ r\ - I s t
nearing	' n i@ r\ - I N
nearly	' n i@ l - i:
nearness	' n i@ n - @ s
nears	' n i@ z
nearside	' n i@ s - Ae d
nearsides	' n i@ s - Ae d z
neat	' n i: t
neater	' n i: t - @ r\
neatest	' n i: t - I s t
neatly	' n i: t - l i:
neatness	' n i: t - n @ s
nebula	' n e b - j U l - @
nebulae	' n e b - j U l - i:
nebular	' n e b - j U l - @ r\
nebulas	' n e b - j U l - @ z
nebulous	' n e b - j U l - @ s
necessaries	' n e s - @ s - @ r\ - I z
necessarily	' n e s - @ s - ' e r\ - @ l - i:
necessary	' n e s - @ s - @ r\ - i:
necessitate	' n I s - ' e s - I t - {I t
necessitated	' n I s - ' e s - I t - {I t - I d
necessitates	' n I s - ' e s - I t - {I t s
necessitating	' n I s - ' e s - I t - {I t - I N
necessities	' n I s - ' e s - I t - I z
necessitous	' n I s - ' e s - I t - @ s
necessity	' n I s - ' e s - I t - i:
neck	' n e k
neckband	' n e k - b { n d
neckbands	' n e k - b { n d z
neckcloth	' n e k - k l O T
neckcloths	' n e k - k l O T s
necked	' n e k t
neckerchief	' n e k - @ tS - I f
neckerchiefs	' n e k - @ tS - I f s
necking	' n e k - I N
necklace	' n e k - l @ s
necklaces	' n e k - l @ s - I z
necklet	' n e k - l I t
necklets	' n e k - l I t s
neckline	' n e k - l Ae n
necklines	' n e k - l Ae n z
necks	' n e k s
necktie	' n e k - t Ae
neckties	' n e k - t Ae z
neckwear	' n e k - w e@ r\
necromancer	' n e k - r\ @ m - { n s - @ r\
necromancers	' n e k - r\ @ m - { n s - @ z
necromancy	' n e k - r\ @ m - { n s - i:
necropolis	' n I k - ' r\ O p - @ l - I s
necropolises	' n I k - ' r\ O p - @ l - I s - I z
nectar	' n e k - t @ r\
nectarine	' n e k - t @ r\ - I n
nectarines	' n e k - t @ r\ - I n z
need	n i: d
needed	' n i: d - I d
needful	' n i: d f - @ l
needfully	' n i: d f - @ l - i:
needier	' n i: d - i@ r\
neediest	' n i: d - I - I s t
needing	' n i: d - I N
needle	' n i: d l
needlecraft	' n i: d l k - r\ 6: f t
needled	' n i: d l d
needles	' n i: d l z
needless	' n i: d - l @ s
needlessly	' n i: d - l @ s - l i:
needlewoman	' n i: d l w - U m - @ n
needlewomen	' n i: d l w - I m - I n
needlework	' n i: d l w - @@ k
needling	' n i: d - l I N
needn't	' n i: d n t
needs	n i: d z
needy	' n i: d - i:
nefarious	' n I f - ' e@ r\ - i@ s
nefariously	' n I f - ' e@ r\ - i@ s - l i:
nefariousness	' n I f - ' e@ r\ - i@ s - n @ s
negate	' n I g - ' {I t
negated	' n I g - ' {I t - I d
negates	' n I g - ' {I t s
negating	' n I g - ' {I t - I N
negation	' n I g - ' {I S - @ n
negative	' n e g - @ t - I v
negatived	' n e g - @ t - I v d
negatively	' n e g - @ t - I v - l i:
negatives	' n e g - @ t - I v z
negativing	' n e g - @ t - I v - I N
neglect	' n I g - ' l e k t
neglected	' n I g - ' l e k - t I d
neglectful	' n I g - ' l e k - t f @ l
neglectfully	' n I g - ' l e k - t f @ l - i:
neglectfulness	' n I g - ' l e k - t f @ l n - @ s
neglecting	' n I g - ' l e k - t I N
neglects	' n I g - ' l e k t s
negligee	' n e g - l I Z - {I
negligees	' n e g - l I Z - {I z
negligence	' n e g - l I dZ - @ n s
negligent	' n e g - l I dZ - @ n t
negligently	' n e g - l I dZ - @ n t - l i:
negligible	' n e g - l I dZ - @ b l
negotiable	' n I g - ' @} S - i@ b l
negotiate	' n I g - ' @} S - I - {I t
negotiated	' n I g - ' @} S - I - {I t - I d
negotiates	' n I g - ' @} S - I - {I t s
negotiating	' n I g - ' @} S - I - {I t - I N
negotiation	' n I g - ' @} S - I - ' {I S - @ n
negotiations	' n I g - ' @} S - I - ' {I S - @ n z
negotiator	' n I g - ' @} S - I - {I t - @ r\
negotiators	' n I g - ' @} S - I - {I t - @ z
negus	' n i: g - @ s
neigh	' n {I
neighbour	' n {I b - @ r\
neighboured	' n {I b - @ d
neighbourhood	' n {I b - @ h - U d
neighbourhoods	' n {I b - @ h - U d z
neighbouring	' n {I b - @ r\ - I N
neighbourliness	' n {I b - @ l - I n - @ s
neighbourly	' n {I b - @ l - i:
neighbours	' n {I b - @ z
neighed	' n {I d
neighing	' n {I - I N
neighs	' n {I z
neither	' n Ae D - @ r\
nem con	' n e m - ' k O n
nemeses	' n e m - @ s - i: z
nemesis	' n e m - @ s - I s
neo	' n i: - @}
neo-	' n i: - @}
neocolonialism	' n i: - @} k - @ l - ' @} n - i@ l - I z - @ m
neolithic	' n i: - @ l - ' I T - I k
neologism	' n i: - ' O l - @ dZ - I z - @ m
neologisms	' n i: - ' O l - @ dZ - I z - @ m z
neon	' n i: - O n
neophyte	' n i: - @ f - Ae t
neophytes	' n i: - @ f - Ae t s
neoplasm	' n i: - @} p - l { z - @ m
neoplasms	' n i: - @} p - l { z - @ m z
nephew	' n e v - j }:
nephews	' n e v - j }: z
nephritis	' n I f - ' r\ Ae t - I s
nepotism	' n e p - @ t - I z - @ m
nereid	' n i@ r\ - I - I d
nereids	' n i@ r\ - I - I d z
nerve	' n @@ v
nerve-cell	' n @@ v - s e l
nerve-cells	' n @@ v - s e l z
nerve-centre	' n @@ v - s e n t - @ r\
nerve-centres	' n @@ v - s e n t - @ z
nerve-racking	' n @@ v - r\ { k - I N
nerved	' n @@ v d
nerveless	' n @@ v - l @ s
nervelessly	' n @@ v - l @ s - l i:
nerves	' n @@ v z
nerving	' n @@ v - I N
nervous	' n @@ v - @ s
nervously	' n @@ v - @ s - l i:
nervousness	' n @@ v - @ s - n @ s
nervy	' n @@ v - i:
nescience	' n e s - i@ n s
nescient	' n e s - i@ n t
ness	' n e s
nesses	' n e s - I z
nest	' n e s t
nest-egg	' n e s t - e g
nest-eggs	' n e s t - e g z
nested	' n e s - t I d
nesting	' n e s - t I N
nestle	' n e s l
nestled	' n e s l d
nestles	' n e s l z
nestling	' n e s - l I N
nestlings	' n e s - t l I N z
nests	' n e s t s
net	' n e t
netball	' n e t - b o: l
nether	' n e D - @ r\
nethermost	' n e D - @ m - @} s t
nets	' n e t s
nett	' n e t
netted	' n e t - I d
netting	' n e t - I N
nettle	' n e t l
nettled	' n e t l d
nettlerash	' n e t l r\ - { S
nettles	' n e t l z
nettling	' n e t - l I N
netts	' n e t s
network	' n e t - w @@ k
networks	' n e t - w @@ k s
neural	' n j u@ r\ - @ l
neuralgia	' n j u@ r\ - ' { l dZ - @
neuralgic	' n j }: r\ - ' { l dZ - I k
neurasthenia	' n j u@ r\ - @ s - ' T i: n - i@
neurasthenic	' n j }: r\ - @ s - ' T e n - I k
neurasthenics	' n j }: r\ - @ s - ' T e n - I k s
neuritis	' n j u@ r\ - ' Ae t - I s
neurologist	' n j u@ r\ - ' O l - @ dZ - I s t
neurologists	' n j u@ r\ - ' O l - @ dZ - I s t s
neurology	' n j u@ r\ - ' O l - @ dZ - i:
neuroses	' n j u@ r\ - ' @} s - i: z
neurosis	' n j u@ r\ - ' @} s - I s
neurotic	' n j u@ r\ - ' O t - I k
neurotically	' n j u@ r\ - ' O t - I k - l i:
neurotics	' n j u@ r\ - ' O t - I k s
neuter	' n j }: t - @ r\
neutered	' n j }: t - @ d
neutering	' n j }: t - @ r\ - I N
neuters	' n j }: t - @ z
neutral	' n j }: t - r\ @ l
neutrality	' n j }: t - ' r\ { l - I t - i:
neutralization	' n j }: t - r\ @ l - Ae z - ' {I S - @ n
neutralizations	' n j }: t - r\ @ l - Ae z - ' {I S - @ n z
neutralize	' n j }: t - r\ @ l - Ae z
neutralized	' n j }: t - r\ @ l - Ae z d
neutralizes	' n j }: t - r\ @ l - Ae z - I z
neutralizing	' n j }: t - r\ @ l - Ae z - I N
neutrals	' n j }: t - r\ @ l z
neutron	' n j }: t - r\ O n
neutrons	' n j }: t - r\ O n z
never	' n e v - @ r\
nevermore	' n e v - @ m - ' o: r\
nevertheless	' n e v - @ D - @ l - ' e s
new	' n j }:
newcomer	' n j }: k - 6 m - @ r\
newcomers	' n j }: k - 6 m - @ z
newel	' n j }: - @ l
newels	' n j }: - @ l z
newer	' n j }: - @ r\
newest	' n j }: - I s t
newfangled	' n j }: f - ' { N g l d
newly	' n j }: l - i:
newlywed	' n j }: l - I w - e d
newlyweds	' n j }: l - I w - e d z
newness	' n j }: n - @ s
news	' n j }: z
newsagent	' n j }: z - {I dZ - @ n t
newsagents	' n j }: z - {I dZ - @ n t s
newsboy	' n j }: z - b oI
newsboys	' n j }: z - b oI z
newscast	' n j }: z k - 6: s t
newscaster	' n j }: z k - 6: s - t @ r\
newscasters	' n j }: z k - 6: s - t @ z
newscasts	' n j }: z k - 6: s t s
newsdealer	' n j }: z - d i: l - @ r\
newsdealers	' n j }: z - d i: l - @ z
newsflash	' n j }: z f - l { S
newsflashes	' n j }: z f - l { S - I z
newsier	' n j }: z - i@ r\
newsiest	' n j }: z - I - I s t
newsless	' n j }: z - l @ s
newsletter	' n j }: z - l e t - @ r\
newsletters	' n j }: z - l e t - @ z
newsmagazine	' n j }: z - ' m { g - @ z - i: n
newsmonger	' n j }: z - m 6 N g - @ r\
newsmongers	' n j }: z - m 6 N g - @ z
newspaper	' n j }: s - p {I p - @ r\
newspaperman	' n j }: s - p {I p - @ m - { n
newspapermen	' n j }: s - p {I p - @ m - e n
newspapers	' n j }: s - p {I p - @ z
newsprint	' n j }: z p - r\ I n t
newsreel	' n j }: z - r\ i: l
newsreels	' n j }: z - r\ i: l z
newsroom	' n j }: z - r\ }: m
newsrooms	' n j }: z - r\ }: m z
newssheet	' n j }: z - S i: t
newssheets	' n j }: z - S i: t s
newsstand	' n j }: z - s t { n d
newsstands	' n j }: z - s t { n d z
newsvendor	' n j }: z - v e n d - @ r\
newsvendors	' n j }: z - v e n d - @ z
newsworthy	' n j }: z - w @@ D - i:
newsy	' n j }: z - i:
newt	' n j }: t
newts	' n j }: t s
next	n e k s t
nexus	' n e k - s @ s
nexuses	' n e k - s @ s - I z
nib	' n I b
nibble	' n I b l
nibbled	' n I b l d
nibbles	' n I b l z
nibbling	' n I b - l I N
nibs	' n I b z
nice	' n Ae s
nicely	' n Ae s - l i:
niceness	' n Ae s - n @ s
nicer	' n Ae s - @ r\
nicest	' n Ae s - I s t
niceties	' n Ae s - @ t - I z
nicety	' n Ae s - @ t - i:
niche	' n I tS
niches	' n I tS - I z
nick	' n I k
nicked	' n I k t
nickel	' n I k l
nickelled	' n I k l d
nickelling	' n I k - @ l - I N
nickels	' n I k l z
nicking	' n I k - I N
nicknack	' n I k - n { k
nicknacks	' n I k - n { k s
nickname	' n I k - n {I m
nicknamed	' n I k - n {I m d
nicknames	' n I k - n {I m z
nicknaming	' n I k - n {I m - I N
nicks	' n I k s
nicotine	' n I k - @ t - i: n
niece	' n i: s
nieces	' n i: s - I z
niff	' n I f
niffier	' n I f - i@ r\
niffiest	' n I f - I - I s t
niffs	' n I f s
niffy	' n I f - i:
niftier	' n I f - t i@ r\
niftiest	' n I f - t I - I s t
nifty	' n I f - t i:
niggard	' n I g - @ d
niggardliness	' n I g - @ d - l I n - @ s
niggardly	' n I g - @ d - l i:
niggards	' n I g - @ d z
nigger	' n I g - @ r\
niggers	' n I g - @ z
niggle	' n I g l
niggled	' n I g l d
niggles	' n I g l z
niggling	' n I g - l I N
nigh	n Ae
nigher	' n Ae - @ r\
nighest	' n Ae - I s t
night	' n Ae t
night-bell	' n Ae t - b e l
night-bells	' n Ae t - b e l z
night-bird	' n Ae t - b @@ d
night-birds	' n Ae t - b @@ d z
night-light	' n Ae t - l Ae t
night-lights	' n Ae t - l Ae t s
night-line	' n Ae t - l Ae n
night-lines	' n Ae t - l Ae n z
night-porter	' n Ae t - ' p o: t - @ r\
night-porters	' n Ae t - ' p o: t - @ z
night-soil	' n Ae t - s oI l
night-stop	' n Ae t - s t O p
night-stops	' n Ae t - s t O p s
night-time	' n Ae t - Ae m
night-watch	' n Ae t - w O tS
night-watches	' n Ae t - w O tS - I z
night-watchman	' n Ae t - ' w O tS - m @ n
night-watchmen	' n Ae t - ' w O tS - m @ n
nightcap	' n Ae t - k { p
nightcaps	' n Ae t - k { p s
nightclub	' n Ae t - k l 6 b
nightclubs	' n Ae t - k l 6 b z
nightdress	' n Ae t - d r\ e s
nightdresses	' n Ae t - d r\ e s - I z
nightfall	' n Ae t - f o: l
nightgown	' n Ae t - g au n
nightgowns	' n Ae t - g au n z
nightie	' n Ae t - i:
nighties	' n Ae t - I z
nightingale	' n Ae t - I N g - {I l
nightingales	' n Ae t - I N g - {I l z
nightjar	' n Ae t - dZ 6: r\
nightjars	' n Ae t - dZ 6: z
nightlong	' n Ae t - l O N
nightly	' n Ae t - l i:
nightmare	' n Ae t - m e@ r\
nightmares	' n Ae t - m e@ z
nightmarish	' n Ae t - m e@ r\ - I S
nights	' n Ae t s
nightshade	' n Ae tS - {I d
nightshirt	' n Ae tS - @@ t
nightshirts	' n Ae tS - @@ t s
nightwork	' n Ae t - w @@ k
nihilism	' n Ae - I l - I z - @ m
nihilist	' n Ae - I l - I s t
nihilistic	' n Ae - I l - ' I s - t I k
nihilists	' n Ae - I l - I s t s
nil	' n I l
nimble	' n I m b l
nimbleness	' n I m b l n - @ s
nimbler	' n I m b - l @ r\
nimblest	' n I m b - l I s t
nimbly	' n I m b - l i:
nimbus	' n I m b - @ s
nimbuses	' n I m b - @ s - I z
niminy-piminy	' n I m - I n - I - ' p I m - I n - i:
nincompoop	' n I N k - @ m p - }: p
nincompoops	' n I N k - @ m p - }: p s
nine	' n Ae n
ninefold	' n Ae n f - @} l d
ninepence	' n Ae n p - @ n s
ninepences	' n Ae n p - @ n s - I z
ninepenny	' n Ae n p - @ n - i:
ninepins	' n Ae n p - I n z
nines	' n Ae n z
nineteen	' n Ae n t - ' i: n
nineteens	' n Ae n t - ' i: n z
nineteenth	' n Ae n t - ' i: n T
nineteenths	' n Ae n t - ' i: n T s
nineties	' n Ae n t - I z
ninetieth	' n Ae n t - i@ T
ninetieths	' n Ae n t - i@ T s
ninety	' n Ae n t - i:
ninnies	' n I n - I z
ninny	' n I n - i:
ninth	' n Ae n T
ninths	' n Ae n T s
nip	' n I p
nipped	' n I p t
nipper	' n I p - @ r\
nippers	' n I p - @ z
nippier	' n I p - i@ r\
nippiest	' n I p - I - I s t
nipping	' n I p - I N
nipple	' n I p l
nipples	' n I p l z
nippy	' n I p - i:
nips	' n I p s
nirvana	' n i@ v - ' 6: n - @
nirvanas	' n i@ v - ' 6: n - @ z
nisei	' n i: s - {I
nisi	' n Ae s - Ae
nit	' n I t
nitrate	' n Ae t - r\ {I t
nitrates	' n Ae t - r\ {I t s
nitre	' n Ae t - @ r\
nitric	' n Ae t - r\ I k
nitrochalk	' n Ae t - r\ @} tS - ' o: k
nitrogen	' n Ae t - r\ @ dZ - @ n
nitroglycerin	' n Ae t - r\ @} g - ' l I s - @ r\ - i: n
nitroglycerine	' n Ae t - r\ @} g - ' l I s - @ r\ - i: n
nitrous	' n Ae t - r\ @ s
nits	' n I t s
nitty-gritty	' n I t - I - ' g r\ I t - i:
nitwit	' n I t - w I t
nitwits	' n I t - w I t s
nitwitted	' n I t - ' w I t - I d
nix	' n I k s
no	' n 6 m b - @ r\
no one	' n @} - w 6 n
no-ball	' n @} - b o: l
no-balls	' n @} - b o: l z
no-go	' n @} - g @}
